宝可梦地区,现实地区,pokemon,纬度,经度,推荐地址,是否精确匹配,,,
枯叶市,横滨市,鲤鱼王、角金鱼、蚊香蝌蚪、大钳蟹、玛瑙水母、杰尼龟、毒刺水母、灯笼鱼、大舌贝、电灯怪、地鼠、长翅鸥、波波、比比鸟、大比鸟、猫老大、风速狗、小拳石,35.4436739,139.6379639,"Yokohama, Kanagawa, Japan",是,,,
千叶市,千葉市,,35.6074041,140.1065366,"Chiba, Japan",是,,,
地鼠洞穴（11号道路侧）,加曾利贝冢,,35.62354,140.1639658,"Japan, 〒264-0028 Chiba, Wakaba Ward, Sakuragi, 8-chōme−３３−１",是,,,
11号道路,绿区,,33.3081201,44.3939325,"Green Zone, Baghdad, Baghdad Governorate, Iraq",是,,,
13号道路,胜浦市,,35.1522272,140.3208833,"Katsuura, Chiba, Japan",是,,,
14号道路,鸭川市,,35.1133206,140.0990322,"Kamogawa, Chiba, Japan",是,,,
15号道路,南房总市,,35.042651,139.839879,"Minamiboso, Chiba, Japan",是,,,
无人发电厂,东海发电所,霹雳电球、皮卡丘、小磁怪、臭泥、三合一磁怪、电击兽、雷丘、臭臭泥、闪电鸟、顽皮雷弹、瓦斯弹、双弹瓦斯、吉利蛋,,,,否,,,
紫苑镇,成田市,波波、比比鸟、大比鸟、地鼠,35.7766588,140.3187418,"Narita, Chiba, Japan",是,,,
8号道路,东成田线,,0,0,Keisei-Higashinarita,Line,是,,
12号道路,铫子市,,35.7340035,140.8267464,"Choshi, Chiba, Japan",是,,,
地下通道（7-8号道路）,东京地铁东西线,,0,0,Tokyo,Metro,Tōzai,Line,是
7号道路,代代木公园,,35.6700649,139.6949656,"Yoyogi Park, 2-1 Yoyogikamizonochō, Shibuya, Tokyo 151-0052, Japan",否,,,
玉虹市,新宿区,伊布、鲤鱼王、蚊香蝌蚪、角金鱼、蚊香君、呆呆兽、臭泥、臭臭泥、可达鸭、瓦斯弹、烈雀、赫拉克罗斯、三蜜蜂、穿山鼠、六尾,35.6938253,139.7033559,"Shinjuku City, Tokyo, Japan",是,,,
玉虹道馆,新宿御苑,,35.6851763,139.7100517,"Shinjuku Gyoen National Garden, 11 Naitōmachi, Shinjuku City, Tokyo 160-0014, Japan",是,,,
5号道路,埼玉市,,35.8616486,139.6454782,"Saitama, Japan",是,,,
金黄市,丸之内,多边兽、雷丘、鬼斯通,35.6804062,139.7664859,"Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",是,,,
磁浮列车车站,东京车站,,35.6812996,139.7670658,"Tokyo Station, 1-chōme-9 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",是,,,
浅红市,馆山市,怪力、鲤鱼王、蚊香蝌蚪、角金鱼、大钳蟹、金鱼王、暴鲤龙、可达鸭、呆呆兽、蔓藤怪、咕咕、刺尾虫、圆丝蛛、芭瓢虫、波波、比比鸟、大比鸟、嘎啦嘎啦、杰尼龟、伊布,34.9965461,139.870044,"Tateyama, Chiba, Japan",是,,,
狩猎地带,母亲牧场,火稚鸡、穿山王、大钳蟹、幸运蛋、滑头小子,35.2480327,139.9406652,"940-3 Tagura, Futtsu, Chiba 299-1601, Japan",是,,,
16号道路,镰仓市,,35.3192128,139.5466731,"Kamakura, Kanagawa, Japan",是,,,
17号道路,东京湾跨海公路,,35.531074,139.8893534,"Tokyo Bay, Japan",否,,,
双子岛,江之岛,小海狮、墨海马、大钳蟹、大舌贝、海星星、呆呆兽、超音蝠、可达鸭、大嘴蝠、哥达鸭、呆壳兽、白海狮、巨钳蟹、海刺龙、迷唇姐、玛瑙水母、鲤鱼王、蚊香蝌蚪、角金鱼、急冻鸟、暴鲤龙、幕下力士、阿勃梭鲁、铃铛响、铜镜怪、杰尼龟、毒刺水母、刺甲贝,35.2990992,139.4809269,"Enoshima, Fujisawa, Kanagawa 251-0036, Japan",是,,,
19号水路,~20号水路,,,,,否,,,
红莲镇,伊豆大岛,蚊香蝌蚪、海星星、毒刺水母、玛瑙水母、鲤鱼王、灯笼鱼、大舌贝、电灯怪、波波、比比鸟、大比鸟、喵喵、臭泥,34.7408836,139.3856256,"Ōshima Island, Oshima, Tokyo, Japan",是,,,
21号水路,相模滩,,,,,否,,,
22号道路,富士箱根伊豆国立公园,,35.4253794,138.6790007,"Fuji-Hakone-Izu National Park, Motohakone, Hakone, Ashigarashimo District, Kanagawa 250-0522, Japan",否,,,
石英高原,上信越高原国立公园,,36.6603374,138.5187229,"Joshin’etsukogen National Park, 軽井沢町 Nagano, Japan",否,,,
27号道路,骏河湾,,34.8672418,138.4787258,"Suruga Bay, Japan",是,,,
都城瀑布,白丝瀑布和音止瀑布,拉达、超音蝠、大嘴蝠、呆呆兽、小拉达、角金鱼、金鱼王、鲤鱼王、幕下力士、阿勃梭鲁、铃铛响、铜镜怪,35.3128675,138.587441,"273-1 Kamiide, Fujinomiya, Shizuoka 418-0103, Japan",否,,,
26号道路,富士市,,35.161484,138.67622,"Fuji, Shizuoka, Japan",是,,,
28号道路,富士宫市,,35.2221277,138.6216491,"Fujinomiya, Shizuoka, Japan",是,,,
鹿子镇,科尼岛,藤藤蛇、暖暖猪、水水獭,40.5755438,-73.9707016,"Coney Island, Brooklyn, NY, USA",是,,,
17号水路,葛瑞福山德湾,,,,,否,,,
18号道路,总督岛,,40.6894501,-74.016792,"Governors Island, New York, NY 11231, USA",是,,,
唐草镇,海洋公园,,22.2346359,114.1721746,"Ocean Park, Hong Kong",是,,,
三曜市,卡纳西,野蛮鲈鱼、角金鱼、金鱼王、龙虾小兵、铁螯龙虾,40.640248,-73.9060662,"Canarsie, Brooklyn, NY, USA",是,,,
梦的遗址,弗洛伊德贝涅特机场,探探鼠、扒手猫、食梦梦、步哨鼠、酷豹、拉达、安瓢虫、阿利多斯、音箱蟀、摩鲁蛾、梦梦蚀、差不多娃娃、花椰猴、爆香猴、冷水猴、胖丁、大嘴蝠、土龙弟弟、胖可丁、叉字蝠、拉帝亚斯、拉帝欧斯,40.5910174,-73.8906091,"3159 Flatbush Ave, Brooklyn, NY 11234, USA",否,,,
泉源洞穴,麦卡伦公园,,26.2034071,-98.2300124,"McAllen, TX, USA",否,,,
七宝市,灯波区,木棉球、百合根娃娃、小福蛋、由克希、喵喵,,,,否,,,
天箭桥,布鲁克林大桥,虫宝包、豆豆鸽、拉普拉斯、几何雪花、姆克鹰、酋雷姆,40.7060855,-73.9968643,"Brooklyn Bridge, New York, NY 10038, USA",是,,,
飞云市,曼哈顿下城,索罗亚、木棉球、百合根娃娃、小拉达、卷卷耳、向尾喵、豆豆鸽、伊布、差不多娃娃、风妖精、裙儿小姐、长耳兔、优雅猫、皮卡丘、大钢蛇、拉达、叶伊布、快龙,40.7208595,-74.0006686,"Lower Manhattan, New York, NY, USA",是,,,
雷文市,曼哈顿中城,喵喵、流氓鳄、哥德宝宝,40.7549309,-73.9840195,"Midtown Manhattan, New York, NY, USA",是,,,
迷幻森林,哈雷特自然保护区,宝包茧、木棉球、百合根娃娃、咕咕鸽、百足蜈蚣、差不多娃娃、电飞鼠、花椰猴、爆香猴、冷水猴、高傲雉鸡、保姆虫、风妖精、裙儿小姐、野蛮鲈鱼、角金鱼、金鱼王、索罗亚克、毒蔷薇、三蜜蜂、赫拉克罗斯、凯罗斯、车轮球、罗丝雷朵、蜂女王、泳圈鼬、浮潜鼬、蚊香蝌蚪、蚊香君、蚊香蛙皇,,,,否,,,
帆巴吊桥,林肯隧道,鸭宝宝、搬运小匠、太阳伊布、狃拉,40.7623082,-74.00949,"Lincoln Tunnel, United States",是,,,
帆巴市,友联市,轻飘飘、胖嘟嘟、大钳蟹、灯笼鱼、爱心鱼、巨钳蟹、电灯怪、索罗亚,40.7744557,-74.0312075,"Union City, NJ, USA",是,,,
吹寄市,泰特伯勒,火伊布,40.861764,-74.058697,"Teterboro, NJ, USA",是,,,
雪花市,里奇菲尔德,蓝蟾蜍、小嘴蜗、泥巴鱼、蟾蜍王、泥泥鳅、鲶鱼王、不良蛙、盖盖虫,45.8156638,-122.6908502,"Ridgefield, WA 98642, USA",是,,,
雪花湿地,蒂内克溪保护区,蓝蟾蜍、小嘴蜗、泥巴鱼、蟾蜍王、泥泥鳅、鲶鱼王、不良蛙、盖盖虫,40.8845222,-74.0079821,"Teaneck, NJ, USA",否,,,
双龙市,哈莱姆,咩利羊,40.8115504,-73.9464769,"Harlem, New York, NY, USA",是,,,
村庄桥,罗伯特・肯尼迪大桥,哥达鸭、猫鼬斩、饭匙蛇、大尾狸、毛头小鹰、秃鹰丫头、勇士雄鹰、秃鹰娜、差不多娃娃、电飞鼠、野蛮鲈鱼、拉普拉斯、利牙鱼、巨牙鲨、玛力露、玛力露丽、土龙弟弟、灯火幽灵,40.7791436,-73.9265554,"Robert F. Kennedy Bridge, Robert F. Kennedy Bridge, New York, NY 10035, USA",是,,,
笼目镇,法拉盛,妙蛙种子、勒克猫、盾甲茧,40.7647238,-73.8306716,"Flushing, Queens, NY, USA",是,,,
巨人洞窟,凯辛娜公园,大嘴蝠、蔓藤怪、大王燕、月石、太阳岩、阿勃梭鲁、随风球、叉字蝠、巨蔓藤、差不多娃娃、电飞鼠、长毛猪、狃拉、信使鸟、迷唇姐、地幔岩、龙头地鼠、野蛮鲈鱼、小海狮、白海狮、蚊香蝌蚪、蚊香君、蚊香泳士、皮皮、百变怪、金属怪、象牙猪、皮可西、巨金怪、酋雷姆、大嘴鸥、多多冰、双倍多多冰,40.7461191,-73.8076036,"Kissena Park, Kissena Blvd and, Booth Memorial Ave, Fresh Meadows, NY 11365, USA",否,,,
涟漪镇,牙买加区,长翅鸥、小球飞鱼、大嘴鸥、吼吼鲸、太阳珊瑚、巨翅飞鱼、铁炮鱼、大舌贝、爱心鱼、章鱼桶、刺甲贝、小卡比兽、轻飘飘、海星星、野蛮鲈鱼、胖嘟嘟、宝石海星,40.7037439,-73.7991953,"Jamaica, Queens, NY, USA",是,,,
涟漪湾,牙买加湾,长翅鸥、小球飞鱼、海豹球、大嘴鸥、吼吼鲸、海魔狮、巨翅飞鱼、吼鲸王、帝牙海狮、铁炮鱼、大舌贝、爱心鱼、章鱼桶、刺甲贝、胖嘟嘟,40.6056632,-73.8713099,"Jamaica Bay, New York, USA",是,,,
丰饶之祠,高地公园,,42.1816918,-87.8003437,"Highland Park, IL 60035, USA",是,,,
传送工厂,康乃尔科技校区,,40.7556304,-73.9562301,"2 W Loop Rd, New York, NY 10044, USA",否,,,
奇幻桥,皇后区中城隧道,舞天鹅、鲤鱼王、克雷色利亚、修建老匠,40.7448708,-73.9639805,"Queens–Midtown Tunl, New York, NY, USA",是,,,
连入,中央公园,,40.7825547,-73.9655834,"Central Park, New York, NY, USA",否,,,
自由庭园岛,自由岛,比克提尼,,,,否,,,
好奥乐市,檀香山,玛瑙水母、长翅鸥、荧光鱼、小拉达、喵喵、凯西、小磁怪、臭泥、皮丘、猫鼬少、齿轮儿、小球飞鱼、魔尼尼、多丽米亚、穿着熊、引梦貘人、粉蝶虫、皮卡丘、岩狗狗,21.3098845,-157.8581401,"Honolulu, HI, USA",是,,,
好奥乐市海滩区,威基基,,,,,否,,,
好奥乐市商业区,阿拉莫阿那,,21.2911038,-157.8434622,"1450 Ala Moana Blvd, Honolulu, HI 96814, USA",否,,,
好奥乐市港口区,珍珠港,,21.3548614,-157.97681545,"Pearl Harbor, Hawaii, USA",是,,,
大浪海滩,日落海滩及也互凯海滩,,,,,否,,,
战争遗迹,普吾欧玛胡卡神庙,,,,,否,,,
慷待市,卡互陆伊,,20.8893016,-156.4728725,"Kahului, HI, USA",是,,,
维拉火山公园,哈雷阿卡拉国家公园,卡拉卡拉、袋兽、鸭嘴宝宝、小箭雀、夜盗火蜥、虚吾伊德,,,,否,,,
马利埃静市,希洛,小福蛋、拉达、小磁怪、臭泥、破破袋、猫鼬探长、泡沫栗鼠,19.7216023,-155.084887,"Hilo, HI 96720, USA",是,,,
辉克拉尼山,茂纳凯亚火山,大嘴雀、百变怪、皮宝宝、盔甲鸟、铁哑铃、小陨星、牙牙、小灰怪、电击怪,19.8206105,-155.4680936,"Mauna Kea, Hawaii 96720, USA",是,,,
火特力山,基拉韦厄火山,小拳石、电击怪、煤炭龟、虫电宝、泥驴仔、爆焰龟兽、托戈德玛尔、独角犀牛、隆隆石、咚咚鼠,19.4068929,-155.2833786,"Kīlauea, Hawaii 96778, USA",是,,,
波尼大峡谷,威美亚峡谷,大嘴蝠、三地鼠、地幔岩、小碎钻、鲤鱼王、迷你龙、泥泥鳅、豪力、黑暗鸦、盔甲鸟、鬃岩狼人、心鳞宝、龙虾小兵、野蛮鲈鱼、功夫鼬,,,,否,,,
日轮祭坛/月轮祭坛,威亚雷雷山,,,,,否,,,
椰蛋树岛,你好岛,,21.8921433,-160.1574878,"Ni‘ihau, Hawaii 96769, USA",是,,,
以太乐园,帕帕哈瑙莫夸基亚国家海洋保护区,可可多拉、雷吉斯奇鲁、胖丁,25.6788883,-169.7399875,"Papahanaumokuakea Marine National Monument, United States",是,,,
随意镇,足寄町,,43.2449157,143.5540194,"Ashoro, Ashoro District, Hokkaido, Japan",是,,,
随意遗迹,阿寒富士,,43.3741314,144.0065124,"Mt. Akan-Fuji, Shoro, Shiranuka, Shiranuka District, Hokkaido 088-0567, Japan",是,,,
帷幕市,网走市,多边兽、姆克鸟,44.0206059,144.2734837,"Abashiri, Hokkaido, Japan",是,,,
215号道路,北海道道,,43.2203266,142.8634737,"Hokkaido, Japan",是,,,
210号道路,网走国定公园,,44.0724378,144.2232485,"Abashiri Quasi-National Park (Okhotsk coast centered on Abashiri and seven lagoon lakes), Misaki, Abashiri, Hokkaido 093-0087, Japan",否,,,
神和镇,远轻町,可达鸭、哥达鸭、鲤鱼王、泥泥鳅、角金鱼、暴鲤龙、龙虾小兵、鲶鱼王、金鱼王、铁螯龙虾,44.062027,143.5279742,"Engaru, Mombetsu District, Hokkaido, Japan",是,,,
送行之泉,摩周湖,,43.5872284,144.5237617,"Lake Mashū, Teshikaga, Kawakami District, Hokkaido, Japan",是,,,
归途洞窟,神婆岛,大嘴蝠、鬼斯通、铜镜怪、青铜钟、鬼斯、夜巡灵、彷徨夜灵、铃铛响、月石、太阳岩、风铃铃、骑拉帝纳,,,,否,,,
黄泉比良坂,黄泉比良坂,,,,,否,,,
立志湖畔,标茶町,,43.3033203,144.6008458,"Shibecha, Kawakami District, Hokkaido, Japan",是,,,
立志湖,屈斜路湖,可达鸭、哥达鸭、姆克鸟、大尾狸、铃铛响、猫头夜鹰、鲤鱼王、角金鱼、暴鲤龙、金鱼王、果然翁、大舌头、太阳岩、月石、亚克诺姆,43.603842,144.3254063,"Lake Kussharo, Teshikaga, Kawakami District, Hokkaido, Japan",是,,,
213号道路,厚岸町,,43.0519506,144.8473693,"Akkeshi, Akkeshi District, Hokkaido, Japan",是,,,
野原市,钏路市,,42.9849413,144.381804,"Kushiro, Hokkaido, Japan",是,,,
大湿地,钏路湿地,可达鸭、咕咕、猫头夜鹰、玛力露、乌波、沼王、露力丽、大牙狸、大尾狸、姆克儿、含羞苞、鲤鱼王、暴鲤龙、泥泥鳅、利牙鱼、鲶鱼王、阿柏怪、哥达鸭、蔓藤怪、蜻蜻蜓、毒蔷薇、热带龙、姆克鸟、钳尾蝎、不良蛙、尖牙笼、派拉斯、蛋蛋、袋兽、蘑蘑菇、溶食兽、变隐龙、龙王蝎、毒骷蛙,,,,否,,,
218号道路,函馆本线,,0,0,Hakodate,Line,是,,
水脉市,小樽市,玛瑙水母、毒刺水母、长翅鸥、大嘴鸥、无壳海兔、海兔兽、鲤鱼王、荧光鱼、海星星、暴鲤龙、霓虹鱼、魔尼尼,43.1902372,140.994172,"Otaru, Hokkaido, Japan",是,,,
216号道路,飞镞山,,44.4336296,142.5840647,"Mount Piyashiri, Sanru, Shimokawa, Kamikawa District, Hokkaido 098-1211, Japan",是,,,
217号道路,宗谷本线,,0,0,Soya,Line,是,,
雪峰市,稚内市,鬼斯通,45.4156307,141.6733641,"Wakkanai, Hokkaido, Japan",是,,,
雪峰神殿,北门神社,,45.420093,141.6712968,"1-chōme-1-21 Chūō, Wakkanai, Hokkaido 097-0022, Japan",否,,,
睿智湖,屈茶路湖,可达鸭、哥达鸭、猫头夜鹰、狃拉、雪童子、大尾狸、铃铛响、雪笠怪、鲤鱼王、角金鱼、暴鲤龙、金鱼王、果然翁、迷唇娃、圈圈熊、熊宝宝、太阳岩、月石、由克希,45.1294646,142.3307149,"Lake Kutcharo, Hamatombetsu, Esashi District, Hokkaido, Japan",是,,,
222号道路,滨中町,,43.0777906,145.1291538,"Hamanaka, Akkeshi District, Hokkaido, Japan",是,,,
滨海市,根室市,毒刺水母、玛瑙水母、大嘴鸥、长翅鸥、小球飞鱼、鲤鱼王、铁炮鱼、暴鲤龙、章鱼桶、海星星,43.3301005,145.5828182,"Nemuro, Hokkaido, Japan",是,,,
导航灯塔,纳沙布岬灯塔,,43.3851766,145.8164565,"Nosappu, Nemuro, Hokkaido 087-0165, Japan",否,,,
钢铁岛,烧尻岛,玛瑙水母、毒刺水母、长翅鸥、大嘴鸥、鲤鱼王、荧光鱼、暴鲤龙、千针鱼、霓虹鱼、超音蝠、大嘴蝠、小拳石、隆隆石、大岩蛇、勾魂眼、大嘴娃、大钢蛇、利欧路,44.4364025,141.4118562,"Yagishiri Island, Yagishiri, Haboro, Tomamae District, Hokkaido 078-3871, Japan",是,,,
新月岛,利尻岛,达克莱伊,45.2004238,141.222042,"Rishiri Island, Rishiri District, Hokkaido, Japan",是,,,
满月岛,礼文岛,,45.3922768,141.0150363,"Rebun Island, Rebun, Rebun District, Hokkaido, Japan",是,,,
双叶镇,登别市,可达鸭、哥达鸭、鲤鱼王、角金鱼、暴鲤龙、金鱼王,42.4127914,141.1066064,"Noboribetsu, Hokkaido, Japan",是,,,
201号道路,室兰本线,,0,0,Muroran,Line,是,,
心齐湖,洞爷湖,姆克儿、大牙狸、可达鸭、哥达鸭、鲤鱼王、角金鱼、暴鲤龙、金鱼王、草苗龟、小火焰猴、波加曼、溜溜糖球、果然翁、月石、太阳岩、姆克鸟、大尾狸,42.625499,140.8433144,"Lake Tōya, Hokkaido, Japan",是,,,
真砂镇,苫小牧市,,42.6312464,141.6031222,"Tomakomai, Hokkaido, Japan",是,,,
219号道路,苫小牧西港渡轮码头,,42.6383812,141.6350097,"Tomakomai West Port Ferry Terminal, 1-chōme-2-34 Irifunechō, Tomakomai, Hokkaido 053-0003, Japan",否,,,
220号水路,苫小牧冲,,42.6312464,141.6031222,"Tomakomai, Hokkaido, Japan",否,,,
221号道路,日高町,,42.4790013,142.0743528,"Hidaka, Saru District, Hokkaido, Japan",是,,,
朋友公园,新日高町,,42.338186,142.3657149,"Shinhidaka, Hidaka District, Hokkaido, Japan",是,,,
202号道路,千岁市,,42.8212867,141.6510125,"Chitose, Hokkaido, Japan",是,,,
祝庆市,札幌市,,43.0617713,141.3544506,"Sapporo, Hokkaido, Japan",是,,,
黑金市,夕张市,凯西,43.0567681,141.9739433,"Yubari, Hokkaido, Japan",是,,,
黑金炭坑,夕张煤矿,,43.0567681,141.9739433,"Yubari, Hokkaido, Japan",否,,,
207号道路,夕张岳,,,,,否,,,
204号道路,札沼线,,0,0,Gakuentoshi,Line,是,,
花苑镇,北龙町,,43.7315055,141.8792542,"Hokuryu, Uryu District, Hokkaido, Japan",是,,,
山谷发电厂,苫前町,大牙狸、小猫怪、帕奇利兹、泳圈鼬、无壳海兔、鲤鱼王、荧光鱼、大舌贝、暴鲤龙、霓虹鱼、玛瑙水母、毒刺水母、长翅鸥、大嘴鸥、海兔兽、电击怪、咩利羊、落雷兽、飘飘球,44.3061419,141.6532114,"Tomamae, Tomamae District, Hokkaido, Japan",是,,,
205号道路,北海道道,,43.2203266,142.8634737,"Hokkaido, Japan",是,,,
百代森林,神居村,,,,,否,,,
森之洋馆,神居古潭,鬼斯、鬼斯通、耿鬼、洛托姆,43.7215472,142.1988334,"Kamuikotan Kamuicho, Asahikawa, Hokkaido 078-0185, Japan",是,,,
百代市,旭川市,聒噪鸟、波克比、可达鸭、哥达鸭、鲤鱼王、泥泥鳅、暴鲤龙、鲶鱼王,43.7708833,142.3650083,"Asahikawa, Hokkaido, Japan",是,,,
206号道路,富良野线,,0,0,Furano,Line,是,,
211号道路,石北本线,,0,0,Sekihoku,Line,是,,
天冠山,虾夷山系,铜镜怪、玛沙那、腕力、铃铛响、小拳石、超音蝠、朝北鼻、皮宝宝、皮皮、大嘴蝠、鲤鱼王、泥泥鳅、暴鲤龙、鲶鱼王、隆隆石、豪力、丑丑鱼、恰雷姆、青铜钟、月石、太阳岩、雪笠怪、暴雪王、阿勃梭鲁、猫头夜鹰、吼爆弹、迷你龙、哈克龙、风铃铃,,,,否,,,
毁坏的世界,逆富士,骑拉帝纳,,,,否,,,
家缘市,带广市,伊布、小福蛋、小火焰猴、电击怪,42.9233354,143.197199,"Obihiro, Hokkaido, Japan",是,,,
208号道路,清水町,,35.0989605,138.9027677,"Shimizu, Sunto District, Shizuoka, Japan",是,,,
宝可梦屋,真锅庭园,小火马、瓦斯弹、小拉达、拉达、卡蒂狗、六尾、臭泥、双弹瓦斯、臭臭泥、鸭嘴火兽、百变怪、吉利蛋,42.8836593,143.2040663,"Manabe Garden, Higashi 2 Sen-６ Inadachō, Obihiro, Hokkaido 080-0832, Japan",否,,,
212号道路,十胜川和六花之森,,42.6928077,143.115478,"Rokka Forest, Nishi 3 Sen-249-6 Tokiwa, Nakasatsunai, Kasai District, Hokkaido 089-1300, Japan",否,,,
209号道路,幕别町,,42.9085701,143.3560712,"Makubetsu, Nakagawa District, Hokkaido, Japan",是,,,
灵魂之塔,常纹隧道殉职碑,,,,,否,,,
第1岛,新岛、神津岛、式根岛、利岛,玛瑙水母、毒刺水母、鲤鱼王、墨海马、大钳蟹、大舌贝、海星星、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽,34.3746494,139.268936,"Nii-jima, Niijima, Tokyo, Japan",否,,,
热气之路,汤滨露天温泉,,,,,否,,,
间间下温泉,湯の浜露天温泉,,34.3641709,139.2427265,"Yunohama-roten Hot Spring, Kurone, Niijima, Tokyo 100-0400, Japan",否,,,
まました温泉,,,,,,否,,,
宝物海滩,前滨海滩,烈雀、蔓藤怪、大嘴雀、喵喵、猫老大、可达鸭、呆呆兽、玛瑙水母、毒刺水母、鲤鱼王、墨海马、大钳蟹、暴鲤龙、海刺龙、巨钳蟹,24.7349726,125.2629745,"Yonaha Beach, Yonaha-1199番 Shimoji, Miyakojima, Okinawa 906-0305, Japan",是,,,
灯火山,宫冢山,小火马、大嘴雀、烈雀、腕力、小拳石、烈焰马、鸭嘴火兽、隆隆石、豪力、火焰鸟、熔岩虫、熔岩蜗牛,,,,否,,,
第2岛,三宅岛、御藏岛,,34.0788424,139.5178185,"Miyake Island, Miyake, Tokyo, Japan",否,,,
第3岛,八丈岛和八丈小岛,,33.1030212,139.8035566,"Hachijō-jima, Hachijo Town, Tokyo, Japan",否,,,
树果森林,八丈小岛,,33.126815,139.6885849,"Hachijō-kojima, Hachijo Town, Tokyo 100-1400, Japan",是,,,
第3岛码头,底土港,,33.1226557,139.8181432,"4184-1 Mitsune, Hachijo Town, Tokyo 100-1511, Japan",否,,,
